CountryOrTerritory,ReportingYear,UpdateTime,StationLocalId,SamplingPointLocalId,SamplingPoint_Latitude,SamplingPoint_Longitude,Pollutant,AggregationType,Namespace,Unit,BeginPosition,EndPosition,Validity,Verification,DataCoverage,DataCapture,TimeCoverage,AQValue
Bulgaria,2012,2019-02-08T09:55:44.06Z,STA-BG0038A,SPO-BG0038A_00007_100,43.268205999999992,26.938438999999999,Ozone (air),3 subsequent calendar years mean,BG.BG-ExEA.AQ,count,2012-01-01,2015-01-01,Not valid,Verified,60.67518248,99.25373134,61.13138686,3.33333333
Bulgaria,2013,2019-02-08T08:11:38.84Z,STA-BG0074A,SPO-BG0074A_00010_100,43.202935999999994,27.904427999999999,Carbon monoxide (air),1 year hour max,BG.BG-ExEA.AQ,mg.m-3,2013-01-01,2014-01-01,Valid,Verified,199.18949772,100,199.18949772,5.67
Bulgaria,2013,2019-02-08T08:11:38.84Z,STA-BG0074A,SPO-BG0074A_00038_100,43.202935999999994,27.904427999999999,Nitrogen monoxide (air),1 year hour max,BG.BG-ExEA.AQ,ug.m-3,2013-01-01,2014-01-01,Valid,Verified,197.67123288,100,197.67123288,303.28
Bulgaria,2013,2019-02-08T08:11:38.84Z,STA-BG0019A,SPO-BG0019A_00008_501,43.411799999999999,24.615006000000005,Nitrogen dioxide (air),1 year hour max,BG.BG-ExEA.AQ,ug.m-3,2013-01-01,2014-01-01,Valid,Verified,173.78995434,100,173.78995434,156.83
Bulgaria,2013,2019-02-08T08:11:38.84Z,STA-BG0054A,SPO-BG0054A_00001_100,42.690353000000002,23.336050000000004,Sulphur dioxide (air),1 year hour max,BG.BG-ExEA.AQ,ug.m-3,2013-01-01,2014-01-01,Valid,Verified,199.69178082,100,199.69178082,55.02
Bulgaria,2013,2019-02-08T08:11:38.84Z,STA-BG0019A,SPO-BG0019A_00010_100,43.411799999999999,24.615006000000005,Carbon monoxide (air),1 year hour max,BG.BG-ExEA.AQ,mg.m-3,2013-01-01,2014-01-01,Valid,Verified,149.10958904,100,149.10958904,9.67
Bulgaria,2013,2019-02-08T08:11:38.84Z,STA-BG0049A,SPO-BG0049A_00038_500,42.609949999999998,23.036928,Nitrogen monoxide (air),1 year hour max,BG.BG-ExEA.AQ,ug.m-3,2013-01-01,2014-01-01,Valid,Verified,194.48630137,100,194.48630137,881.41
Bulgaria,2013,2019-02-08T08:11:38.84Z,STA-BG0069A,SPO-BG0069A_00001_100,42.674005999999999,26.338325000000001,Sulphur dioxide (air),1 year hour max,BG.BG-ExEA.AQ,ug.m-3,2013-01-01,2014-01-01,Valid,Verified,195.47945205,100,195.47945205,703.41
Bulgaria,2013,2019-02-08T08:11:38.84Z,STA-BG0049A,SPO-BG0049A_00008_500,42.609949999999998,23.036928,Nitrogen dioxide (air),1 year hour max,BG.BG-ExEA.AQ,ug.m-3,2013-01-01,2014-01-01,Valid,Verified,194.32648402,100,194.32648402,149.34
Bulgaria,2013,2019-02-08T08:11:38.84Z,STA-BG0071A,SPO-BG0071A_00007_100,42.659757999999989,27.720956000000001,Ozone (air),1 year hour max,BG.BG-ExEA.AQ,ug.m-3,2013-01-01,2014-01-01,Valid,Verified,190.2283105,100,190.2283105,139.86
Bulgaria,2013,2019-02-08T08:11:38.84Z,STA-BG0071A,SPO-BG0071A_00008_100,42.659757999999989,27.720956000000001,Nitrogen dioxide (air),1 year hour max,BG.BG-ExEA.AQ,ug.m-3,2013-01-01,2014-01-01,Valid,Verified,186.27853881,100,186.27853881,94.54
Bulgaria,2013,2019-02-08T08:11:38.84Z,STA-BG0072A,SPO-BG0072A_00008_100,42.152642,24.750764,Nitrogen dioxide (air),1 year hour max,BG.BG-ExEA.AQ,ug.m-3,2013-01-01,2014-01-01,Valid,Verified,197.32876712,100,197.32876712,336.26
Bulgaria,2013,2019-02-08T08:11:38.84Z,STA-BG0071A,SPO-BG0071A_00038_100,42.659757999999989,27.720956000000001,Nitrogen monoxide (air),1 year hour max,BG.BG-ExEA.AQ,ug.m-3,2013-01-01,2014-01-01,Valid,Verified,186.15296804,100,186.15296804,75.31
Bulgaria,2013,2019-02-08T08:11:38.84Z,STA-BG0075A,SPO-BG0075A_00008_100,43.224389000000002,27.915732999999999,Nitrogen dioxide (air),1 year hour max,BG.BG-ExEA.AQ,ug.m-3,2013-01-01,2014-01-01,Valid,Verified,196.18721461,100,196.18721461,53.16
Bulgaria,2013,2019-02-08T08:11:38.84Z,STA-BG0075A,SPO-BG0075A_00038_100,43.224389000000002,27.915732999999999,Nitrogen monoxide (air),1 year hour max,BG.BG-ExEA.AQ,ug.m-3,2013-01-01,2014-01-01,Valid,Verified,196.18721461,100,196.18721461,533.82
Bulgaria,2013,2019-02-08T08:11:38.84Z,STA-BG0056A,SPO-BG0056A_00038_100,42.456622000000003,27.420967000000005,Nitrogen monoxide (air),1 year hour max,BG.BG-ExEA.AQ,ug.m-3,2013-01-01,2014-01-01,Valid,Verified,198.85844749,100,198.85844749,100.61
Bulgaria,2013,2019-02-08T08:11:38.84Z,STA-BG0041A,SPO-BG0041A_00038_500,42.05638299999999,25.593450000000001,Nitrogen monoxide (air),1 year hour max,BG.BG-ExEA.AQ,ug.m-3,2013-01-01,2014-01-01,Valid,Verified,191.63242009,100,191.63242009,417.04
Bulgaria,2013,2019-02-08T08:11:38.84Z,STA-BG0044A,SPO-BG0044A_00001_500,42.518891999999994,27.375143999999999,Sulphur dioxide (air),1 year hour max,BG.BG-ExEA.AQ,ug.m-3,2013-01-01,2014-01-01,Valid,Verified,187.76255708,100,187.76255708,327.96
Bulgaria,2013,2019-02-08T08:11:38.84Z,STA-BG0041A,SPO-BG0041A_00010_500,42.05638299999999,25.593450000000001,Carbon monoxide (air),1 year hour max,BG.BG-ExEA.AQ,mg.m-3,2013-01-01,2014-01-01,Valid,Verified,188.59589041,100,188.59589041,9.09
Bulgaria,2013,2019-02-08T08:11:38.84Z,STA-BG0050A,SPO-BG0050A_00008_500,42.680557999999991,23.296786000000001,Nitrogen dioxide (air),1 year hour max,BG.BG-ExEA.AQ,ug.m-3,2013-01-01,2014-01-01,Valid,Verified,198.69863014,100,198.69863014,149.3
Bulgaria,2013,2019-02-08T08:11:38.84Z,STA-BG0070A,SPO-BG0070A_00010_100,42.637191999999992,23.243864000000002,Carbon monoxide (air),1 year hour max,BG.BG-ExEA.AQ,mg.m-3,2013-01-01,2014-01-01,Valid,Verified,193.51598174,100,193.51598174,1.05
Bulgaria,2013,2019-02-08T08:11:38.84Z,STA-BG0040A,SPO-BG0040A_00001_500,42.732291999999987,23.310972,Sulphur dioxide (air),1 year hour max,BG.BG-ExEA.AQ,ug.m-3,2013-01-01,2014-01-01,Valid,Verified,199.15525114,100,199.15525114,81.67
Bulgaria,2013,2019-02-08T08:11:38.84Z,STA-BG0045A,SPO-BG0045A_00008_100,43.851366999999996,25.964086000000002,Nitrogen dioxide (air),1 year hour max,BG.BG-ExEA.AQ,ug.m-3,2013-01-01,2014-01-01,Valid,Verified,197.956621,100,197.956621,129.19
Bulgaria,2013,2019-02-08T08:11:38.84Z,STA-BG0073A,SPO-BG0073A_00038_100,42.669796999999996,23.268402999999999,Nitrogen monoxide (air),1 year hour max,BG.BG-ExEA.AQ,ug.m-3,2013-01-01,2014-01-01,Valid,Verified,197.4543379,100,197.4543379,522.17
